,tweet,reply1,reply2,reply3,reply4,reply5,reply6,reply7,reply8,reply9,reply10,reply11,reply12,reply13,reply14,reply15,reply16,reply17,reply18,reply19,reply20,reply21,reply22,reply23,reply24,reply25,reply26,reply27,reply28,reply29,reply30,reply31,reply32,reply33,reply34,reply35,reply36,reply37,reply38,reply39,reply40,reply41,reply42,reply43,reply44,reply45,reply46,reply47,reply48,reply49,reply50,reply51,reply52,reply53,reply54,reply55,reply56,reply57
89,"В Новой Боровой на крыше одного из домов повесили большой красно-зеленый флаг.

Местные жители пишут, что для этого… https://t.co/4d55uiAcjF",@tutby Красота!,"@tutby It is only a rag from which blood drips.
It will not be the rag of the future.
Let's see how long the rag of the blood regime hangs",@tutby #Яматки в трауре,"@tutby терпите, беларусы",@tutby Ну теперь то уж точно все воспылают любовью к лукашизму,@tutby Блять 🤬🤬🤬🤬🤬🤬🤬🤬🤬,@tutby МОЛОДЦЫ!,@tutby 🤣🤣🤣 вскрыли доступ🤣🤣🤣 МЧС доступ вскрыло?,@tutby Супер спасибо,@tutby Ещё ФСБ РФ снайперов на соседних крышах поставили.  Точно говорю.,@tutby красота,"@tutby Што ты не павесь, ну ўсё роўна вас гэтыя людзі ненавідзяць. Тое што вы ваткнулі гэту палку на даху гэта што… https://t.co/v3LkfMC53r",@tutby После провала революции - реакция,@tutby кз-дебилы,"@tutby Парень подкладывает в гульфик носок, девушка вату в бюстгальтер, ябатьки вешают лукафлаг в протестном районе.","@tutby Теперь ждём репортажа Азаренка о подвиге, сравнимом со взятием Рейхстага)","@tutby Вибачте, а в Біларусі дахами менти завідують ?",@tutby отлично! и пусть попробуют снимут... а это уже статья УК..,@tutby 👍👍👍,@tutby О Конституции Беларуси вспомнилось https://t.co/LlzX03MBuV,@tutby Ну так на то эти структуры и созданы. Или нет?,"@tutby То есть что, когда над одном из домов стояло бчб знамя, это не было нарушением противопожарной безопасности,… https://t.co/RkQxr9li4Y",@tutby Красиво!!!!,"@tutby пишите заяву о том, что горючие материалы на крыше",@tutby ЗачЭм? ))),@tutby HELLarus 🇧🇾,"@tutby МЧС вскрыли доступ на крышу....
Как посмели!)))",@tutby Так можно или нельзя флаги на крыше??? Или зелёный цвет не горит? 🙄,"@tutby Блядь, какие же беспросветные долбоёбы...","@tutby Эта флагофрения уже выходит за рамки разумного и неразумного. Этим же кретинам, кто исполняет волю больного… https://t.co/zCRZ6hd0AK","@tutby внучки лагерных вертухаев во всей красе. все награды,  за выстрелы в затылок и пытки безоружных гражданских","@tutby Ну все, терь точно патриотизЬм распространится на весь район! Ну и, как известно, государственный флаг огнеу… https://t.co/l6bBKKPAup","@tutby Они не пытаются заставить полюбить, это просто месть. И делают они это по той же причине, по которой коты ли… https://t.co/235vQV5nRJ","@tutby Это ни Синепальцему, ни его красаўцам не поможет)))
Вот убогие, все как в совке: на все, что способны - это… https://t.co/a7qgUqh3Bo","@tutby Любовь к флагу, так не прививается, такая любовь строится из рабочих законов и качества жизни, а не благодар… https://t.co/8SxzbCFSvO","@tutby Блин они там ненавистью питаются что ли на завтрак, обед и ужин или что...","@tutby Горит, горит змагарский пукан 👍👍👍👍.","@tutby беззаконие при всемерной поддержке @112by. Вам не стыдно, спасатели, такой фигней заниматься? 
ВСКРЫВАТЬ ДОС… https://t.co/pOKTzni12p",@tutby Открытая война и установка флагов на завоёванных зданиях?,@tutby Жыве Белорусь!,"@tutby говорят, что скоро запретят жёлтый сигнал на светофорах","@tutby От, красiва здзелалi. Дауно пара была захвацiць цытадэль",@tutby Ахахаха они рейхстаг перепутали с Новой боровой или это репетиция 🤷‍♀️,@tutby https://t.co/MZoyltZLE5,@tutby Блядзі,"@tutby Прымусам немагчыма заставіць нешта любіць. Кпд акцыі- хутчэй мінусавы, мне здаецца. Выратавальнікі, вам не сорамна?",@tutby Имхо это незаконное проникновение на частную собственность. Установка конструкций не предусмотренных проекто… https://t.co/iydcyORlGX,@tutby Capture the flag mode,"@tutby Недолго эта тряпка там провисит). 
Ну если только лукафашики не обмотают флагшток колючкой, а подступы не заминируют.))",@tutby полегчало?,,,,,,,
90,Известная правозащитная организация — о независимости судебной системы и верховенстве закона в Беларуси. https://t.co/cWjM6O54TT,"@tutby Там должна бать оценка -100, а не 0.",@tutby https://t.co/eyK2gJxrhQ,@tutby https://t.co/rCstOOS29e,@tutby Заслуженно,@tutby https://t.co/Rstf6axYqF,@tutby Вы уточняйте что 100% независимости получают те кто 100% под контрооем США),"@tutby Известна правозашитная, НАТО или Госдеп ?)))",@tutby https://t.co/vtAC5PbPBQ,@tutby https://t.co/3Lf6VtdoSi,@tutby https://t.co/Hj4Qm83hsq,"@tutby Щас Ермошина ""8"" припишет","@tutby ""Только не смейтесь, у нас самый независимый суд в мире""",@tutby ОО - такая оценка вашим потугам,"@tutby Верховенство права есть только в правовых странах, а право проверяется просто. Если то что написано в консти… https://t.co/hvAWB6rjWC","@tutby Ну Freedom House, финансируемый правительством ""самой демократичной страны мира"" периодически стреляющей ""вн… https://t.co/o2Xm7WUcfp","@tutby - Какова оценка независимости судебной системы и верховенства закопана в Беларуси?
- Думаю что овал.",@tutby https://t.co/F9uq2fNgir,"@tutby В Вашiнгтоне, каля нуля))","@tutby невозможно оценить то, чего нет",@tutby обычный репрессивный орган :(,@tutby надеюсь хотя бы худой,@tutby -150000000 дно же непробиваемое,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Идея — утеплить дом опилками. 

Сколько это стоит, какие есть за и против?

https://t.co/hpitEASv99 https://t.co/xPOIREGlay",@tutby гореть будет классно! если в @112by  еще остались нормальные профессионалы они подтвердят.,"@tutby Пожароопасная идея, лучше утеплять только специальными утеплителями типа каменной ваты.",@tutby а як потім горить https://t.co/CK7qHmRqKC,@tutby в древности люди утепляли дома иголками от елок.,"@tutby завиральная, пустая, фантастически идиотская идея","@tutby Ідэя гаўно. Завядецца жыўнасць- наробіць хадоў- вось вам і свішчы, мостыкі холаду. 
Існуе нармальны варыянт… https://t.co/U1Mge7yk33",@tutby Є поняття - протипожежна безпека!!! Так можна й порохом утеплити!,"@tutby За: экологичность (*нет)
Против: 
1. пожароопасность (если с пропиткой - прощай экологичность)
2. Насекомые… https://t.co/8Qwh9Qb2wV",@tutby И облить бензином,"@tutby Отличная идея, только опилки нужно гасить пушонкой...",@tutby насекомые заведуться сто пудов,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Можно ли детям пить напитки из холодильника? 

Мнение врача-педиатра. https://t.co/lLKktbQp3a https://t.co/IF2pCAVJjK",@tutby нужно,"@tutby в общем-то, никому нельзя",@tutby нет,@tutby Похмелье если только,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,"В резиденции «Дрозды» продают трехкомнатную квартиру. 

В каком доме и как это возможно?
https://t.co/LKhiy5YNKX https://t.co/HkJWMRTs6t","@tutby В резиденции ""Дрозды""? Нам вот это до... все равно.",@tutby дизайнерский интерьер,@tutby Витя съезжает?),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Женщина решила продать детей, чтобы выжить. 

История одной фотографии.

https://t.co/ZqSlmCK5Gc https://t.co/GTbXfPPnln",@tutby Какая война была на территории США в 1948 годк https://t.co/6qonRxFpl4,@tutby М.. да... Ужас (,"@tutby Да нет, тутки паскуда просто так не пишут, тем более о хозяевах своих.","@tutby Ой, ну что вы тут страху нагоняете. Всем известно, что прекрасные США (там жеж демократия и выборы!) - это т… https://t.co/5vXpHfAecp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Коронавирус в Беларуси: свежие данные от Минздрава

Всего заболели: 291 621  (+1 174 за сутки)
Выздоровели: 282 039… https://t.co/ESZLS7QHBm","@tutby Если бы не было последней графы с тестами, являющимися столпом данной афёры века, то в первых трёх графах были бы нули.",@tutby нахуй публиковать рандомные цифры выдуманные людьми которые сотрудничают с террористами?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,"В Минске судили мужчину, который несколько раз ударил в автобусе пассажира в красно-зеленой куртке. 

Рассказываем,… https://t.co/DdknOE8TMB","@tutby Тутки, на  минуточку, у этого упыря судимость была не погашена!  Но это как раз герой туток. Подобное тянетс… https://t.co/r54nU1lbST","@tutby А ботинки снимает, прежде чем на лавку встать?",@tutby Сажать не стоило. А вот в псих. Больницу года на 2 нормально.,"@tutby Судили конченого выродка, а не мужчину, жаль, что такое говно ещё и наплодило после себя немало. 
Его ""показ… https://t.co/OSsna5OrGg",@tutby Ничего нового. Умственно отсталый прокладочник.,"@tutby токсичность КЗ-символики зашкаливает
Она порождает конфликты и убивает мозг носителя",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Если не найдется 500 млн долларов, то «Полимир» придется закрыть.

https://t.co/RPKocPF5mN https://t.co/xlqffbRIuN",@tutby Понятно! Скоро за рубль продаст россиянцам.,"@tutby Смешно читать про 500млн и полимир в одном предложении.

У них там пожар был однажды потому что в какой-то т… https://t.co/9paPAqzlWS",@tutby 🤦‍♂️ “Одна установка введена в эксплуатацию еще в 1967 году”,@tutby Ждем завтра сказон сколько надо на мотовело на модернизацию,@tutby https://t.co/QDGuf7PC61,@tutby Вырезайте. Не дефицит,@tutby Луканомика плешивого цыгана в действии,@tutby Пашукайце за канапай,@tutby Это к имеющейся долговой нагрузки в $750 млн Сибуру,"@tutby И где упоминание ""если не"" и ""то придётся"" в свершившейся форме? 
Уже есть инвестор, который вошёл в состав… https://t.co/N2IMhVOdQz",@tutby За диванами смотрели уже?,"@tutby за диваном есть 900 тысяч, хватит ещё на один убыточный завод","@tutby Хех, делов то ) Правительство ж уже схемку придумало - печатаем акции Полимира, и отдаём банкам в счёт долга… https://t.co/31O3WUU9vt","@tutby У старшего братика из Кремля пусть попросят, там быстро дают денежки.","@tutby @BCPHbN40AwzxJ5u ,прокомментируете?или заготовок от начальства еще не пришло?😁",@tutby Пусть за диваном посмотрят,@tutby Рыночек решает!,"@tutby 27 лет закапывал деньги в землю. О заводах только сейчас вспомнил. Миллиарды, где они?",@tutby Не найдется 😐,"@tutby Стартовый капитал Дж.Безоса, взятый  для основания Амазон был 300к уе

А колхозникам надо 500 млн уе штоб абасраную корову помыть",@tutby да и хрен с ним,"@tutby Следовало ожидать. Продукция и так сомнительного качества, так еще по старой традции: чтобы больше заработат… https://t.co/xaEjGRJQiy",@tutby Всё не вечно,"@tutby Не знаю о чем вы, на сайте указанно «Более полувека устойчивого развития!»","@tutby Тихановская, прекрати душить Полимир!!1","@tutby Я знаю у кого попросить, он всем даёт - пенсионерам, учителям...",@tutby Ябатьки никак не успокоятся,@tutby BYSOL поможет протестному Новополоцку?,"@tutby Тутбай, дайте 500 мил!!! Вы же для народа фигней страдаете!!! Пострадайте ради Полимира!!!! Литовцы Вам платят сполна!!!",,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Freedom House: Уровень свобод в Беларуси — 11 из 100, как в Узбекистане, Йемене, секторе Газа.… https://t.co/pYfG9BL98Z","@tutby ...а также во Франции, Нидерландах, Германии, Британии, США и многих других странах, с западной дерьмократие… https://t.co/8YfutvRBsA",@tutby Сектор газа = беларусь?,"@tutby В сколеновстане такой же.
Только об этом не так говорят и не догадываются.",@tutby я был лучшего мнения об Узбекистане,"@tutby Украина 60 из 100 ха ха ха
Надо брать пример с Украины и для начала обрезать ТуТ интернет и тогда у нас сразу оценка вырастет.","@tutby Где-то тихо плачут европейские и американские традиционалисты, которых ни разу вот не преследуют",@tutby 11 из 100 это потому что пока ещё можно дышать?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,"В Барановичах вынесли приговор физруку, ударившему в школе подростка в пах.

https://t.co/tTxPdBy9nw https://t.co/p7hr1ZQ6oM","@tutby Интересно, отделался бы он химией, если бы какому мусору по яйцам зарядил? Вопрос, естесна, риторический.",@tutby Бачыце шчанюкоў біць можна застаўся на воле,"@tutby Учитель года, педагог от бога","@tutby 2,5 года ДОМАШНЕЙ химии за тяжкое телесное повреждение? Ну конечно не отравлять же его в колонию к журналист… https://t.co/FEHD5AP9Xy",@tutby За айкос и двор стреляю в упор,@tutby что-то не так с учителями... может консерваторию поменять? https://t.co/Xo5AJQvSjg,"@tutby Охренеть, откуда таких садистов набирают в учителя?!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Беларусь по уровню продовольственной безопасности обошла Россию, Польшу и Украину.

https://t.co/dkNdqss38r https://t.co/e3dJm8jgJC","@tutby Сколеновстан только ленивый гаитянец не обойдёт, да и то окажется в лучшей позиции.","@tutby Как Украина может быть ниже нас по списку?
 Выходит прибалтики продовольственная безопасность отсутствует.","@tutby бред. в магазинах в массе российское. местное мясо, молочка, чутка зелени и круп, и все.","@tutby Фины конечно молодцы, первое место","@tutby Это если даже сейчас аграрии на такое способны с откровенно деградирующим АПК, может не так уж и страшна кон… https://t.co/ozVR9qsxOw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,"Лукашенко и Кубраков поздравили милиционеров.

«Мы с вами не допустили гражданского раскола».… https://t.co/oRYo8447na","@tutby Правильно! Не допустили, а ""Создали""!",@tutby Конечно не допустили. Сами же и раскололи. И как дрова в топку репрессий.,"@tutby И у каждого на тыкве нахлобучен ""вымирал кузнетцов"".","@tutby Вы же откололись от общества и назвали это расколом. А люди живут в Беларуси, в котой никакого раскола нет.… https://t.co/iB9CtwdeEX","@tutby ""Мы с вами сделали гражданский раскол""",@tutby Они в своём уме? Что это если не раскол,@tutby Уебак плешивый,@tutby Военщина одна.👎,"@tutby И этот человек возомнил себя президентом... Книжки читать надо было, а не за коровами ходить...","@tutby Как раз наоборот, они же специально и разделили людей!",@tutby Мрази,@tutby Да граждан Белоруссии в моментах практически нет одни холуи заграничные..,@tutby https://t.co/morVQw9r23,"@tutby Горите в аду, мрази!!!",@tutby https://t.co/Xjo7x4ozZO,"@tutby @VStruncov Тутки проститутки, пупок у вас развяжется от потуг ваших,гнилые твари.","@tutby Дух Йосифа Сталина, приди! Дух Виссарионыча, приди!.. Хунта, что с неё возьмёшь.. Раскол общества состоялся… https://t.co/wl5jZIRLw7","@tutby Поупивайтесь сегодня водки до смерти, мы реально это оценим","@tutby Ну да, вся страна едина против них)","@tutby Хунта,а если прочесть наоборот?
А трудовой народ уничтожит хунту!!!",@tutby Новости с параллельной вселенной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,"В Беларуси ввели изменения по таможенным платежам при пересечении границы.

https://t.co/WRm0XNqrqK https://t.co/MyfqtvWUT6","@tutby Правильно! Не допустили, а ""Создали""!",@tutby Конечно не допустили. Сами же и раскололи. И как дрова в топку репрессий.,"@tutby И у каждого на тыкве нахлобучен ""вымирал кузнетцов"".","@tutby Вы же откололись от общества и назвали это расколом. А люди живут в Беларуси, в котой никакого раскола нет.… https://t.co/iB9CtwdeEX","@tutby ""Мы с вами сделали гражданский раскол""",@tutby Они в своём уме? Что это если не раскол,@tutby Уебак плешивый,@tutby Военщина одна.👎,"@tutby И этот человек возомнил себя президентом... Книжки читать надо было, а не за коровами ходить...","@tutby Как раз наоборот, они же специально и разделили людей!",@tutby Мрази,@tutby Да граждан Белоруссии в моментах практически нет одни холуи заграничные..,@tutby https://t.co/morVQw9r23,"@tutby Горите в аду, мрази!!!",@tutby https://t.co/Xjo7x4ozZO,"@tutby @VStruncov Тутки проститутки, пупок у вас развяжется от потуг ваших,гнилые твари.","@tutby Дух Йосифа Сталина, приди! Дух Виссарионыча, приди!.. Хунта, что с неё возьмёшь.. Раскол общества состоялся… https://t.co/wl5jZIRLw7","@tutby Поупивайтесь сегодня водки до смерти, мы реально это оценим","@tutby Ну да, вся страна едина против них)","@tutby Хунта,а если прочесть наоборот?
А трудовой народ уничтожит хунту!!!",@tutby Новости с параллельной вселенной,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,"Сколько нужно зарабатывать, чтобы взять 20 тысяч рублей в кредит?

Рассказываем. https://t.co/QlnbM9CR6h https://t.co/WHx7ZKF5xh","@tutby Не важно сколько, не надо кредит брать.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,"Артем Шрайбман — об увольнении декана ФМО БГУ.

«Если есть выбор — а у лучших он обычно есть — они уходят».… https://t.co/4SXT7vBqlS",@tutby Да вы что правда.,@tutby Another who follows their conscience 👍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,Носкевич: Уголовное дело Тихановского до конца месяца будет передано прокурору для направления в суд.… https://t.co/RNfyI5srbk,"@tutby И лозунг хороший на майке, только надо было придерживаться его, и жить.","@tutby 💐💐💐💐💐

❤️❤️📢❤️❤️

⬜️⬜️⬜️⬜️⬜️
🟥🟥🟥🟥🟥🩸 😓 😢
⬜️⬜️⬜️⬜️⬜️

❤️❤️🥊❤️❤️

💐💐💐💐💐",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,"Туристов в Беларуси в 2020 году стало в 10 раз меньше. 

Показатели на уровне начала 90-х годов.… https://t.co/79GlUwKr2W",@tutby Get rid of the antique government and Belarus will become the world’s new rising star!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,"Наши в Эстонии: «Многое отдают бесплатно. А на специальных „мусорках“ можно найти классную мебель».

Любопытно!… https://t.co/qQat3jmQuV","@tutby Может хватит пиzдеть, а? Собирайте свои чемоданы и в Эстонию, по помойкам лазить.","@tutby Тутки, ваши статьи это анекдоты 🤣🤣🤣🤣. Высер за высером. В Эстонии нет своих предприятий, вся медецина платна… https://t.co/Qd4PfoVWgg",@tutby Неплохо платят за русофобию. Многие постсоветские страны впали в искушение на этом разбогатеть,@tutby Все кто мог оттуда уже уехали в Финляндию,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,"Жителя «Пирса», отказавшегося снимать флаг с балкона, задержали.

https://t.co/HWy9RarmD8 https://t.co/1ITrLEjVDZ",@tutby Хорошо!!!!,@tutby Мрази,@tutby 🤡 show in HELLarus 🇧🇾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,"Учительница в Чечерске ударила школьника о парту — и тот попал в больницу. 

Чем закончилась проверка милиции?… https://t.co/s8uEyxdTWr","@tutby Головой об стену бить нужно родителей, которые своих отпрысков, зачатых на пьяную голову, не учат дисциплине… https://t.co/e6bLXCdUzP",@tutby Отец года,"@tutby Детки вырастут, станут милиционерами и тоже будут бить этого мальчика по голове.",@tutby Ўсё па запаветам сіпатага- не дакапацца!,"@tutby а СОП не хочет проверить эту семью?
я не удивлюсь, если такой папаша и жену колотит","@tutby Извините уж, но отец полный ....ил, у меня есть сын, ( ещё только в сад пойдёт), и если, что то похожее прои… https://t.co/DUZMFcCY5I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,"Начальник минской милиции поговорил о протестах, киберпреступлениях и удаленном доступе к компьютерам.… https://t.co/TBbVMh7dPK","@tutby Да, поговорил. А вот сказал ли что-то? Нет",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,"История мотоциклистки, которая в 25 лет стала жертвой страшной аварии.

«Парень выдержал полгода».… https://t.co/00Xtuizc3P","@tutby Да, поговорил. А вот сказал ли что-то? Нет",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,"Что сейчас происходит со стартап-сообществом в Беларуси?

«Наш пессимизм не оправдался». https://t.co/5zx1SYnKIj https://t.co/Hu4WKNvFwl","@tutby Да, поговорил. А вот сказал ли что-то? Нет",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Медики написали открытое письмо главе профсоюза: «Мог ли врач промолчать и позволить опорочить имя убитого?»… https://t.co/6t0A76T382,@tutby Когда предлагают бабки он промолчать не смог!,"@tutby He did nothing wrong : ( unacceptable !

Take NOTE:
Judge: Sviatlana Bandarenka / Svetlana Bondarenko
Prosec… https://t.co/7TKZK9qGAK",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,"Сообщество @By_Pol опубликовало аудио: на нем предположительно Юрий Караев выступает перед силовиками. 

Мужчина на… https://t.co/jlhGz3bK6Z",@tutby @By_Pol Позор🤦‍♂️,@tutby @By_Pol Опять поляки с литовцами слепили какую-то шнягу!,@tutby @By_Pol Не “преследовать” а забіваць #КараеўЗабойца,"@tutby @By_Pol Can he read sign language?
https://t.co/morVQw9r23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,"В Минском районе пропал 15-летний подросток.

 https://t.co/CIk2KEw1gy https://t.co/r613vc9shm",@tutby @By_Pol Позор🤦‍♂️,@tutby @By_Pol Опять поляки с литовцами слепили какую-то шнягу!,@tutby @By_Pol Не “преследовать” а забіваць #КараеўЗабойца,"@tutby @By_Pol Can he read sign language?
https://t.co/morVQw9r23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,"Полиция начала проверку после попытки жены Мамаева покончить с собой.

https://t.co/EhngBMjqMs https://t.co/oZbrv84UMW",@tutby @By_Pol Позор🤦‍♂️,@tutby @By_Pol Опять поляки с литовцами слепили какую-то шнягу!,@tutby @By_Pol Не “преследовать” а забіваць #КараеўЗабойца,"@tutby @By_Pol Can he read sign language?
https://t.co/morVQw9r23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,"Регионы в 2020-м году теряли кадры.

Что давит на рынок труда? https://t.co/cCXSMrEMe1 https://t.co/qcm3skKrmD",@tutby @By_Pol Позор🤦‍♂️,@tutby @By_Pol Опять поляки с литовцами слепили какую-то шнягу!,@tutby @By_Pol Не “преследовать” а забіваць #КараеўЗабойца,"@tutby @By_Pol Can he read sign language?
https://t.co/morVQw9r23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,"Банк повысил предпринимателю плату за обслуживание в 5 раз из-за овердрафта.

«Вместо 25 рублей — 129».… https://t.co/4gRbvl2EQZ",@tutby @By_Pol Позор🤦‍♂️,@tutby @By_Pol Опять поляки с литовцами слепили какую-то шнягу!,@tutby @By_Pol Не “преследовать” а забіваць #КараеўЗабойца,"@tutby @By_Pol Can he read sign language?
https://t.co/morVQw9r23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,"В Бресте возле многоэтажки нашли тело 13-летней девочки.

https://t.co/adBENr516U https://t.co/Qisv4glHNG",@tutby @By_Pol Позор🤦‍♂️,@tutby @By_Pol Опять поляки с литовцами слепили какую-то шнягу!,@tutby @By_Pol Не “преследовать” а забіваць #КараеўЗабойца,"@tutby @By_Pol Can he read sign language?
https://t.co/morVQw9r23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,"Посмотрели на весну в Минске, пока снова не похолодало. Прогулки в парке, солнце и тени. 

Фото: Ольга Шукайло /… https://t.co/HHSqFGxALJ",@tutby @By_Pol Позор🤦‍♂️,@tutby @By_Pol Опять поляки с литовцами слепили какую-то шнягу!,@tutby @By_Pol Не “преследовать” а забіваць #КараеўЗабойца,"@tutby @By_Pol Can he read sign language?
https://t.co/morVQw9r23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,"В Швеции мужчина напал с ножом на прохожих и ранил 8 человек. 

Полиция подозревает терроризм.… https://t.co/1HtEv6lf2g",@tutby @By_Pol Позор🤦‍♂️,@tutby @By_Pol Опять поляки с литовцами слепили какую-то шнягу!,@tutby @By_Pol Не “преследовать” а забіваць #КараеўЗабойца,"@tutby @By_Pol Can he read sign language?
https://t.co/morVQw9r23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,"Как в Купаловском прошел первый спектакль после президентских выборов.

«Осторожно, тут могут быть бэчебэшники».… https://t.co/wrlY4vKCML",@tutby @By_Pol Позор🤦‍♂️,@tutby @By_Pol Опять поляки с литовцами слепили какую-то шнягу!,@tutby @By_Pol Не “преследовать” а забіваць #КараеўЗабойца,"@tutby @By_Pol Can he read sign language?
https://t.co/morVQw9r23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,"Если вы не читали вчера. 

Избитому ОМОНом таксисту из Гродно должны были вынести приговор за насилие над милицией… https://t.co/wAg1jYdhZZ","@tutby Maybe he left the country to be safe?
Facts, truth and justice are no longer relevant there.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,"Все магазины Bigzz и «Копилка» не работают. Компания ушла в ликвидацию.

https://t.co/xVy2nM0lyZ https://t.co/ldL3AZq7Ue","@tutby Maybe he left the country to be safe?
Facts, truth and justice are no longer relevant there.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,"Если вы не видели вчера. 

СК показал видео, снятое скрытой камерой в штабе Тихановской. Кто на записи и что о ней… https://t.co/JOQmieMA3T",@tutby Обосрались вы со своей Тихановской,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,"Житель «Пирса» повесил на балконе БЧБ-флаг, а его авто забрал эвакуатор.

«Предложили снять, я отказался».… https://t.co/W5pnmUtxPc",@tutby Обосрались вы со своей Тихановской,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,"Не читали? Читайте. 

В новом КоАП изменилась формулировка «создание аварийной обстановки». Что это значит для води… https://t.co/62Ek1LhqXG",@tutby Обосрались вы со своей Тихановской,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,"В Барановичах судят физрука за удар школьника в пах: подросток перенес операцию.

https://t.co/HOG0O8ug8r https://t.co/NbLr0YGDj7",@tutby Обосрались вы со своей Тихановской,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,"Если вы не читали днем. 

Беларусбанк начал выдавать потребительские кредиты. Какую сумму дадут при зарплате в 1000… https://t.co/2pJtU5wlk9",@tutby Обосрались вы со своей Тихановской,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,"Уволился декан ФМО БГУ Виктор Шадурский. 

Он возглавлял факультет больше 12 лет

https://t.co/GxPcdTLoiL https://t.co/C3pINqpz51",@tutby Обосрались вы со своей Тихановской,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
